ticker,ex_div_date,dividend_amount,entry_date,entry_type,entry_price,exit_date,exit_price,holding_days,entry_vix,exit_vix,entry_zscore,entry_premium_discount,gross_return_bps,bid_ask_cost_bps,borrow_fee_bps,net_return_bps,won,regime,regime_calm,regime_stressed
PDI,2023-05-10,0.221,2023-05-09,t_minus_1_close,18.51,2023-05-16,17.95,5,17.71,17.99,-0.40391285843541797,5.110730194984963,302.54,23.23,5.75,273.55,True,Normal (15-20),False,False
PDI,2023-05-10,0.221,2023-05-09,t_minus_1_close,18.51,2023-05-23,17.82,10,17.71,18.53,-0.40391285843541797,5.110730194984963,372.77,23.23,11.51,338.03,True,Normal (15-20),False,False
PDI,2023-05-10,0.221,2023-05-09,t_minus_1_close,18.51,2023-05-31,18.25,15,17.71,17.94,-0.40391285843541797,5.110730194984963,140.46,23.23,17.26,99.97,True,Normal (15-20),False,False
PDI,2023-05-10,0.221,2023-05-09,t_minus_1_close,18.51,2023-06-07,18.71,20,17.71,13.94,-0.40391285843541797,5.110730194984963,-108.05,23.23,23.01,-154.29,False,Normal (15-20),False,False
PDI,2023-05-10,0.221,2023-05-10,ex_div_open,18.4,2023-05-17,18.04,5,16.94,16.87,-0.4053771505798471,5.106135249946927,195.65,23.37,5.75,166.53,True,Normal (15-20),False,False
PDI,2023-05-10,0.221,2023-05-10,ex_div_open,18.4,2023-05-24,17.8,10,16.94,20.03,-0.4053771505798471,5.106135249946927,326.09,23.37,11.51,291.21,True,Normal (15-20),False,False
PDI,2023-05-10,0.221,2023-05-10,ex_div_open,18.4,2023-06-01,18.25,15,16.94,15.65,-0.4053771505798471,5.106135249946927,81.52,23.37,17.26,40.89,True,Normal (15-20),False,False
PDI,2023-05-10,0.221,2023-05-10,ex_div_open,18.4,2023-06-08,18.71,20,16.94,13.65,-0.4053771505798471,5.106135249946927,-168.48,23.37,23.01,-214.86,False,Normal (15-20),False,False
PDI,2023-05-10,0.221,2023-05-10,ex_div_close,18.32,2023-05-17,18.04,5,16.94,16.87,-0.4053771505798471,5.106135249946927,152.84,23.47,5.75,123.61,True,Normal (15-20),False,False
PDI,2023-05-10,0.221,2023-05-10,ex_div_close,18.32,2023-05-24,17.8,10,16.94,20.03,-0.4053771505798471,5.106135249946927,283.84,23.47,11.51,248.86,True,Normal (15-20),False,False
PDI,2023-05-10,0.221,2023-05-10,ex_div_close,18.32,2023-06-01,18.25,15,16.94,15.65,-0.4053771505798471,5.106135249946927,38.21,23.47,17.26,-2.52,False,Normal (15-20),False,False
